ticket_id,agent_id,category,channel,priority,status,opened_at,closed_at,sla_target_hours,age_hours,resolution_hours,sla_breached
TKT0051,AG033,Product Inquiry,Phone,High,Open,2026-08-31 15:00,,24,21,,False
TKT0052,AG012,Refund Request,Chat,Critical,Closed,2026-01-08 03:00,2026-01-09 21:00,8,42,42,True
TKT0053,AG039,Refund Request,Email,Low,Closed,2026-03-30 23:00,2026-04-05 07:00,72,128,128,True
TKT0054,AG034,Refund Request,Phone,Medium,Closed,2026-03-07 01:00,2026-03-07 02:00,48,1,1,False
TKT0055,AG043,Account Access,Phone,Medium,Closed,2026-06-21 06:00,2026-06-21 11:00,48,5,5,False
TKT0056,AG033,Account Access,Phone,Low,Open,2026-08-28 16:00,,72,92,,True
TKT0057,AG043,Product Inquiry,Phone,Medium,Closed,2026-03-17 17:00,2026-03-18 20:00,48,27,27,False
TKT0058,AG020,Account Access,Email,Medium,Closed,2026-05-26 09:00,2026-05-26 10:00,48,1,1,False
TKT0059,AG044,Technical Support,Phone,Medium,Closed,2026-06-17 10:00,2026-06-18 15:00,48,29,29,False
TKT0060,AG043,Billing,Chat,Medium,Open,2026-08-30 01:00,,48,59,,True
TKT0061,AG044,Account Access,Email,Medium,Closed,2026-03-27 02:00,2026-03-30 09:00,48,79,79,True
TKT0062,AG030,Product Inquiry,Phone,High,Closed,2026-01-12 07:00,2026-01-13 17:00,24,34,34,True
TKT0063,AG042,Billing,Email,Medium,Closed,2026-04-09 15:00,2026-04-10 01:00,48,10,10,False
TKT0064,AG036,Technical Support,Email,High,Closed,2026-07-25 22:00,2026-07-26 00:00,24,2,2,False
TKT0065,AG049,Product Inquiry,Phone,Medium,Closed,2026-06-20 16:00,2026-06-24 09:00,48,89,89,True
TKT0066,AG029,Technical Support,Phone,High,Open,2026-08-31 18:00,,24,18,,False
TKT0067,AG050,Refund Request,Chat,High,Closed,2026-07-12 07:00,2026-07-14 19:00,24,60,60,True
TKT0068,AG022,Account Access,Phone,Medium,Closed,2026-01-20 22:00,2026-01-21 16:00,48,18,18,False
TKT0069,AG005,Product Inquiry,Chat,Low,Closed,2026-04-09 22:00,2026-04-11 02:00,72,28,28,False
TKT0070,AG050,Refund Request,Phone,Low,Closed,2026-01-16 06:00,2026-01-21 08:00,72,122,122,True
TKT0071,AG001,Account Access,Chat,Low,Open,2026-08-28 05:00,,72,103,,True
TKT0072,AG035,Refund Request,Phone,High,Open,2026-08-27 06:00,,24,126,,True
TKT0073,AG022,Product Inquiry,Phone,High,Closed,2026-03-11 13:00,2026-03-12 02:00,24,13,13,False
TKT0074,AG038,Refund Request,Phone,Low,Closed,2026-02-02 19:00,2026-02-04 22:00,72,51,51,False
TKT0075,AG025,Account Access,Email,Low,Closed,2026-02-04 14:00,2026-02-06 00:00,72,34,34,False
TKT0076,AG017,Billing,Chat,Medium,Closed,2026-08-14 12:00,2026-08-15 15:00,48,27,27,False
TKT0077,AG049,Billing,Email,Low,Closed,2026-03-31 07:00,2026-03-31 13:00,72,6,6,False
TKT0078,AG037,Technical Support,Chat,Low,Closed,2026-02-09 07:00,2026-02-09 22:00,72,15,15,False
TKT0079,AG046,Billing,Email,Medium,Closed,2026-02-12 19:00,2026-02-14 19:00,48,48,48,False
TKT0080,AG026,Technical Support,Email,Critical,Closed,2026-01-07 09:00,2026-01-07 16:00,8,7,7,False
TKT0081,AG050,Account Access,Phone,Medium,Open,2026-08-30 15:00,,48,45,,False
TKT0082,AG043,Account Access,Email,Medium,Closed,2026-05-25 01:00,2026-05-26 05:00,48,28,28,False
TKT0083,AG028,Account Access,Phone,Medium,Closed,2026-08-06 13:00,2026-08-09 03:00,48,62,62,True
TKT0084,AG042,Account Access,Phone,High,Closed,2026-02-09 13:00,2026-02-10 06:00,24,17,17,False
TKT0085,AG038,Account Access,Chat,High,Closed,2026-05-04 14:00,2026-05-05 14:00,24,24,24,False
TKT0086,AG016,Product Inquiry,Phone,High,Open,2026-08-31 21:00,,24,15,,False
TKT0087,AG032,Technical Support,Chat,Medium,Closed,2026-01-08 15:00,2026-01-11 15:00,48,72,72,True
TKT0088,AG036,Billing,Phone,High,Closed,2026-08-14 19:00,2026-08-15 04:00,24,9,9,False
TKT0089,AG045,Product Inquiry,Phone,High,Closed,2026-07-04 13:00,2026-07-04 21:00,24,8,8,False
TKT0090,AG045,Technical Support,Chat,Medium,Closed,2026-01-05 02:00,2026-01-06 04:00,48,26,26,False
TKT0091,AG036,Account Access,Chat,Medium,Closed,2026-05-22 16:00,2026-05-24 16:00,48,48,48,False
TKT0092,AG021,Billing,Phone,Medium,Closed,2026-03-06 07:00,2026-03-06 20:00,48,13,13,False
TKT0093,AG018,Refund Request,Phone,Medium,Closed,2026-02-17 06:00,2026-02-18 13:00,48,31,31,False
TKT0094,AG015,Account Access,Email,Medium,Open,2026-08-29 17:00,,48,67,,True
TKT0095,AG036,Account Access,Phone,Low,Closed,2026-02-02 08:00,2026-02-02 15:00,72,7,7,False
TKT0096,AG037,Account Access,Chat,High,Closed,2026-07-12 15:00,2026-07-12 16:00,24,1,1,False
TKT0097,AG008,Billing,Chat,Medium,Closed,2026-01-14 08:00,2026-01-18 22:00,48,110,110,True
TKT0098,AG020,Billing,Email,Medium,Closed,2026-06-25 01:00,2026-06-26 14:00,48,37,37,False
TKT0099,AG050,Refund Request,Chat,Low,Closed,2026-06-05 19:00,2026-06-10 00:00,72,101,101,True
TKT0100,AG037,Refund Request,Email,Medium,Closed,2026-08-09 18:00,2026-08-13 10:00,48,88,88,True
TKT0101,AG043,Billing,Email,Medium,Closed,2026-07-15 06:00,2026-07-15 23:00,48,17,17,False
TKT0102,AG019,Billing,Email,Low,Closed,2026-02-10 00:00,2026-02-12 13:00,72,61,61,False
TKT0103,AG017,Refund Request,Phone,Low,Closed,2026-08-09 14:00,2026-08-10 20:00,72,30,30,False
TKT0104,AG018,Technical Support,Email,High,Closed,2026-01-30 17:00,2026-01-30 22:00,24,5,5,False
TKT0105,AG029,Billing,Chat,Low,Closed,2026-06-02 23:00,2026-06-07 12:00,72,109,109,True
TKT0106,AG006,Refund Request,Email,Medium,Closed,2026-03-11 16:00,2026-03-12 21:00,48,29,29,False
TKT0107,AG044,Refund Request,Phone,High,Closed,2026-06-04 08:00,2026-06-04 16:00,24,8,8,False
TKT0108,AG037,Billing,Email,Critical,Open,2026-08-31 10:00,,8,26,,True
TKT0109,AG041,Product Inquiry,Email,Medium,Closed,2026-03-13 05:00,2026-03-17 13:00,48,104,104,True
TKT0110,AG022,Product Inquiry,Phone,Medium,Closed,2026-03-24 21:00,2026-03-25 08:00,48,11,11,False
TKT0111,AG021,Account Access,Chat,Medium,Closed,2026-04-13 17:00,2026-04-13 23:00,48,6,6,False
TKT0112,AG043,Refund Request,Chat,Low,Closed,2026-08-10 16:00,2026-08-13 17:00,72,73,73,True
TKT0113,AG049,Billing,Email,Medium,Closed,2026-04-03 19:00,2026-04-08 04:00,48,105,105,True
TKT0114,AG008,Billing,Phone,Low,Closed,2026-03-15 14:00,2026-03-21 05:00,72,135,135,True
TKT0115,AG027,Billing,Email,Medium,Closed,2026-02-10 09:00,2026-02-11 21:00,48,36,36,False
TKT0116,AG042,Technical Support,Chat,Critical,Open,2026-08-31 20:00,,8,16,,True
TKT0117,AG031,Technical Support,Chat,High,Closed,2026-06-30 08:00,2026-07-01 00:00,24,16,16,False
TKT0118,AG005,Account Access,Chat,Medium,Closed,2026-06-03 16:00,2026-06-04 01:00,48,9,9,False
TKT0119,AG038,Refund Request,Phone,Low,Closed,2026-03-10 00:00,2026-03-11 15:00,72,39,39,False
TKT0120,AG049,Refund Request,Chat,Medium,Closed,2026-05-18 15:00,2026-05-20 03:00,48,36,36,False
TKT0121,AG015,Product Inquiry,Email,Medium,Closed,2026-02-18 22:00,2026-02-19 23:00,48,25,25,False
TKT0122,AG032,Billing,Email,Low,Closed,2026-07-27 12:00,2026-07-28 08:00,72,20,20,False
TKT0123,AG007,Refund Request,Chat,Medium,Closed,2026-08-11 03:00,2026-08-15 12:00,48,105,105,True
TKT0124,AG031,Account Access,Chat,Low,Closed,2026-08-11 20:00,2026-08-15 06:00,72,82,82,True
TKT0125,AG025,Account Access,Phone,Medium,Closed,2026-01-21 10:00,2026-01-26 07:00,48,117,117,True
TKT0126,AG016,Account Access,Email,Medium,Closed,2026-08-12 17:00,2026-08-12 22:00,48,5,5,False
TKT0127,AG029,Technical Support,Phone,Medium,Closed,2026-01-26 20:00,2026-01-27 03:00,48,7,7,False
TKT0128,AG028,Technical Support,Email,Low,Closed,2026-03-25 01:00,2026-03-27 01:00,72,48,48,False
TKT0129,AG040,Product Inquiry,Phone,Medium,Closed,2026-07-22 05:00,2026-07-22 11:00,48,6,6,False
TKT0130,AG017,Product Inquiry,Chat,Medium,Closed,2026-05-30 04:00,2026-05-31 21:00,48,41,41,False
TKT0131,AG044,Refund Request,Email,Medium,Open,2026-08-29 17:00,,48,67,,True
TKT0132,AG041,Product Inquiry,Phone,Low,Open,2026-08-25 21:00,,72,159,,True
TKT0133,AG031,Billing,Email,Low,Open,2026-08-30 10:00,,72,50,,False
TKT0134,AG026,Account Access,Email,Medium,Closed,2026-03-17 22:00,2026-03-19 17:00,48,43,43,False
TKT0135,AG019,Technical Support,Phone,Medium,Closed,2026-07-10 01:00,2026-07-14 17:00,48,112,112,True
TKT0136,AG050,Technical Support,Phone,High,Closed,2026-02-18 19:00,2026-02-19 19:00,24,24,24,False
TKT0137,AG038,Account Access,Phone,Low,Closed,2026-01-11 09:00,2026-01-14 14:00,72,77,77,True
TKT0138,AG012,Technical Support,Email,Low,Open,2026-08-30 06:00,,72,54,,False
TKT0139,AG018,Technical Support,Chat,High,Open,2026-08-31 19:00,,24,17,,False
TKT0140,AG048,Account Access,Email,High,Open,2026-08-27 22:00,,24,110,,True
TKT0141,AG036,Account Access,Email,Medium,Closed,2026-07-13 07:00,2026-07-17 10:00,48,99,99,True
TKT0142,AG048,Account Access,Phone,High,Closed,2026-05-18 03:00,2026-05-19 01:00,24,22,22,False
TKT0143,AG002,Refund Request,Phone,Medium,Closed,2026-04-06 03:00,2026-04-07 10:00,48,31,31,False
TKT0144,AG045,Account Access,Phone,Low,Closed,2026-06-15 02:00,2026-06-17 14:00,72,60,60,False
TKT0145,AG007,Technical Support,Phone,Medium,Closed,2026-01-10 09:00,2026-01-13 00:00,48,63,63,True
TKT0146,AG027,Refund Request,Phone,Low,Closed,2026-06-21 23:00,2026-06-24 21:00,72,70,70,False
TKT0147,AG040,Product Inquiry,Chat,Medium,Open,2026-08-29 04:00,,48,80,,True
TKT0148,AG007,Account Access,Phone,Low,Closed,2026-04-24 14:00,2026-04-29 13:00,72,119,119,True
TKT0149,AG030,Billing,Phone,High,Closed,2026-01-16 12:00,2026-01-16 16:00,24,4,4,False
TKT0150,AG009,Refund Request,Email,Low,Closed,2026-01-06 01:00,2026-01-10 09:00,72,104,104,True
TKT0151,AG022,Technical Support,Phone,Low,Closed,2026-02-23 18:00,2026-02-25 00:00,72,30,30,False
TKT0152,AG035,Account Access,Email,Low,Open,2026-08-31 19:00,,72,17,,False
TKT0153,AG016,Refund Request,Chat,Low,Open,2026-08-30 14:00,,72,46,,False
TKT0154,AG048,Billing,Chat,Low,Closed,2026-02-02 23:00,2026-02-03 14:00,72,15,15,False
TKT0155,AG040,Billing,Phone,Medium,Closed,2026-06-01 03:00,2026-06-01 18:00,48,15,15,False
TKT0156,AG042,Billing,Email,High,Open,2026-08-30 06:00,,24,54,,True
TKT0157,AG032,Product Inquiry,Email,Critical,Open,2026-09-01 11:00,,8,1,,False
TKT0158,AG041,Refund Request,Phone,High,Closed,2026-02-07 02:00,2026-02-07 22:00,24,20,20,False
TKT0159,AG039,Product Inquiry,Email,Medium,Closed,2026-06-02 16:00,2026-06-04 01:00,48,33,33,False
TKT0160,AG047,Technical Support,Chat,High,Closed,2026-06-17 20:00,2026-06-21 19:00,24,95,95,True
TKT0161,AG007,Account Access,Chat,Medium,Closed,2026-03-28 14:00,2026-03-30 13:00,48,47,47,False
TKT0162,AG006,Billing,Email,Low,Closed,2026-02-09 21:00,2026-02-13 06:00,72,81,81,True
TKT0163,AG036,Refund Request,Chat,Medium,Closed,2026-04-06 04:00,2026-04-07 18:00,48,38,38,False
TKT0164,AG047,Billing,Chat,Medium,Closed,2026-08-12 21:00,2026-08-17 04:00,48,103,103,True
TKT0165,AG031,Technical Support,Email,Medium,Closed,2026-05-28 16:00,2026-05-30 11:00,48,43,43,False
TKT0166,AG036,Refund Request,Phone,Medium,Closed,2026-01-30 08:00,2026-01-31 12:00,48,28,28,False
TKT0167,AG002,Technical Support,Chat,Medium,Closed,2026-06-05 21:00,2026-06-09 08:00,48,83,83,True
TKT0168,AG037,Product Inquiry,Email,Medium,Closed,2026-03-28 11:00,2026-03-28 21:00,48,10,10,False
TKT0169,AG025,Product Inquiry,Chat,Low,Closed,2026-01-08 02:00,2026-01-09 06:00,72,28,28,False
TKT0170,AG004,Technical Support,Email,Low,Closed,2026-07-04 10:00,2026-07-07 21:00,72,83,83,True
TKT0171,AG032,Refund Request,Chat,High,Closed,2026-01-21 08:00,2026-01-21 22:00,24,14,14,False
TKT0172,AG019,Refund Request,Chat,Medium,Closed,2026-05-12 03:00,2026-05-12 11:00,48,8,8,False
TKT0173,AG001,Technical Support,Chat,Medium,Closed,2026-02-26 12:00,2026-02-28 20:00,48,56,56,True
TKT0174,AG001,Product Inquiry,Phone,High,Closed,2026-07-15 08:00,2026-07-15 12:00,24,4,4,False
TKT0175,AG043,Account Access,Email,Medium,Closed,2026-05-17 22:00,2026-05-19 10:00,48,36,36,False
TKT0176,AG021,Refund Request,Chat,Medium,Closed,2026-04-22 00:00,2026-04-22 05:00,48,5,5,False
TKT0177,AG021,Technical Support,Phone,Medium,Closed,2026-04-17 09:00,2026-04-17 11:00,48,2,2,False
TKT0178,AG016,Product Inquiry,Phone,Medium,Closed,2026-04-03 02:00,2026-04-03 09:00,48,7,7,False
TKT0179,AG022,Technical Support,Email,Medium,Closed,2026-08-11 09:00,2026-08-12 00:00,48,15,15,False
TKT0180,AG023,Technical Support,Email,Medium,Closed,2026-05-11 06:00,2026-05-15 03:00,48,93,93,True
TKT0181,AG012,Product Inquiry,Chat,Low,Closed,2026-02-14 19:00,2026-02-15 05:00,72,10,10,False
TKT0182,AG041,Account Access,Email,High,Closed,2026-04-25 21:00,2026-04-28 15:00,24,66,66,True
TKT0183,AG023,Refund Request,Email,Medium,Closed,2026-06-11 09:00,2026-06-13 17:00,48,56,56,True
TKT0184,AG042,Billing,Phone,Low,Closed,2026-01-15 11:00,2026-01-18 21:00,72,82,82,True
TKT0185,AG029,Refund Request,Phone,Medium,Closed,2026-05-29 17:00,2026-05-31 23:00,48,54,54,True
TKT0186,AG007,Account Access,Phone,Low,Closed,2026-05-09 04:00,2026-05-14 14:00,72,130,130,True
TKT0187,AG034,Refund Request,Phone,Low,Closed,2026-01-11 07:00,2026-01-13 16:00,72,57,57,False
TKT0188,AG044,Refund Request,Email,Low,Closed,2026-03-14 12:00,2026-03-16 08:00,72,44,44,False
TKT0189,AG025,Account Access,Chat,High,Closed,2026-01-17 10:00,2026-01-18 08:00,24,22,22,False
TKT0190,AG043,Technical Support,Chat,Medium,Closed,2026-06-04 04:00,2026-06-05 18:00,48,38,38,False
TKT0191,AG020,Refund Request,Chat,Low,Closed,2026-06-19 12:00,2026-06-19 23:00,72,11,11,False
TKT0192,AG044,Refund Request,Email,Medium,Closed,2026-02-02 21:00,2026-02-04 21:00,48,48,48,False
TKT0193,AG014,Account Access,Chat,Medium,Closed,2026-04-03 00:00,2026-04-03 12:00,48,12,12,False
TKT0194,AG007,Refund Request,Phone,Low,Open,2026-08-30 22:00,,72,38,,False
TKT0195,AG050,Refund Request,Email,High,Open,2026-09-01 01:00,,24,11,,False
TKT0196,AG047,Product Inquiry,Email,Medium,Closed,2026-02-16 22:00,2026-02-19 20:00,48,70,70,True
TKT0197,AG029,Technical Support,Phone,Medium,Closed,2026-03-02 14:00,2026-03-04 14:00,48,48,48,False
TKT0198,AG024,Refund Request,Chat,Low,Open,2026-08-28 23:00,,72,85,,True
TKT0199,AG013,Refund Request,Email,Medium,Closed,2026-04-08 16:00,2026-04-09 03:00,48,11,11,False
TKT0200,AG046,Refund Request,Email,High,Closed,2026-05-04 11:00,2026-05-04 15:00,24,4,4,False
TKT0201,AG028,Billing,Email,Low,Closed,2026-03-11 14:00,2026-03-15 09:00,72,91,91,True
TKT0202,AG004,Product Inquiry,Phone,High,Open,2026-08-27 06:00,,24,126,,True
TKT0203,AG007,Account Access,Email,Medium,Closed,2026-01-21 11:00,2026-01-22 08:00,48,21,21,False
TKT0204,AG049,Product Inquiry,Chat,Low,Closed,2026-08-01 15:00,2026-08-02 09:00,72,18,18,False
TKT0205,AG010,Refund Request,Phone,Medium,Open,2026-08-31 22:00,,48,14,,False
TKT0206,AG004,Technical Support,Chat,Medium,Closed,2026-07-18 09:00,2026-07-18 17:00,48,8,8,False
TKT0207,AG039,Refund Request,Email,Medium,Closed,2026-01-17 03:00,2026-01-21 19:00,48,112,112,True
TKT0208,AG040,Account Access,Email,Medium,Closed,2026-07-03 04:00,2026-07-03 05:00,48,1,1,False
TKT0209,AG005,Refund Request,Phone,Medium,Closed,2026-06-21 02:00,2026-06-22 02:00,48,24,24,False
TKT0210,AG031,Billing,Phone,Medium,Open,2026-08-29 11:00,,48,73,,True
TKT0211,AG023,Technical Support,Phone,Medium,Closed,2026-07-11 00:00,2026-07-11 05:00,48,5,5,False
TKT0212,AG003,Account Access,Phone,Medium,Closed,2026-05-29 23:00,2026-06-01 17:00,48,66,66,True
TKT0213,AG041,Technical Support,Email,Low,Closed,2026-08-01 21:00,2026-08-04 11:00,72,62,62,False
TKT0214,AG013,Billing,Chat,Low,Closed,2026-04-28 01:00,2026-04-28 07:00,72,6,6,False
TKT0215,AG049,Technical Support,Chat,High,Closed,2026-07-28 17:00,2026-07-28 19:00,24,2,2,False
TKT0216,AG024,Product Inquiry,Chat,Medium,Closed,2026-08-10 20:00,2026-08-11 04:00,48,8,8,False
TKT0217,AG032,Product Inquiry,Chat,Medium,Open,2026-09-01 00:00,,48,12,,False
TKT0218,AG028,Refund Request,Email,High,Closed,2026-07-25 02:00,2026-07-25 05:00,24,3,3,False
TKT0219,AG029,Refund Request,Phone,Medium,Closed,2026-01-21 10:00,2026-01-22 06:00,48,20,20,False
TKT0220,AG040,Product Inquiry,Chat,Medium,Closed,2026-03-31 14:00,2026-04-01 13:00,48,23,23,False
TKT0221,AG024,Refund Request,Phone,Medium,Closed,2026-01-15 02:00,2026-01-16 04:00,48,26,26,False
TKT0222,AG044,Product Inquiry,Email,Medium,Open,2026-08-30 21:00,,48,39,,False
TKT0223,AG039,Technical Support,Phone,Low,Closed,2026-06-15 11:00,2026-06-15 16:00,72,5,5,False
TKT0224,AG024,Product Inquiry,Chat,Medium,Closed,2026-04-24 02:00,2026-04-25 12:00,48,34,34,False
TKT0225,AG034,Product Inquiry,Phone,Medium,Closed,2026-01-30 00:00,2026-01-31 08:00,48,32,32,False
TKT0226,AG045,Product Inquiry,Email,Low,Closed,2026-06-30 14:00,2026-07-02 03:00,72,37,37,False
TKT0227,AG029,Billing,Phone,Low,Open,2026-08-27 14:00,,72,118,,True
TKT0228,AG005,Refund Request,Phone,Critical,Open,2026-08-30 06:00,,8,54,,True
TKT0229,AG024,Refund Request,Email,Low,Closed,2026-02-10 22:00,2026-02-11 21:00,72,23,23,False
TKT0230,AG024,Refund Request,Phone,Low,Closed,2026-02-05 07:00,2026-02-08 11:00,72,76,76,True
TKT0231,AG005,Account Access,Chat,Medium,Closed,2026-05-22 04:00,2026-05-22 10:00,48,6,6,False
TKT0232,AG009,Account Access,Phone,Critical,Closed,2026-05-15 13:00,2026-05-16 07:00,8,18,18,True
TKT0233,AG041,Refund Request,Email,Low,Closed,2026-05-13 11:00,2026-05-16 10:00,72,71,71,False
TKT0234,AG010,Account Access,Email,High,Closed,2026-05-09 01:00,2026-05-12 20:00,24,91,91,True
TKT0235,AG019,Billing,Chat,Low,Open,2026-08-29 17:00,,72,67,,False
TKT0236,AG040,Refund Request,Email,Low,Open,2026-08-30 21:00,,72,39,,False
TKT0237,AG047,Refund Request,Chat,Medium,Closed,2026-05-29 04:00,2026-05-30 20:00,48,40,40,False
TKT0238,AG050,Refund Request,Chat,High,Closed,2026-07-31 00:00,2026-07-31 21:00,24,21,21,False
TKT0239,AG041,Refund Request,Chat,Medium,Closed,2026-04-17 19:00,2026-04-19 03:00,48,32,32,False
TKT0240,AG005,Billing,Email,Medium,Closed,2026-03-04 21:00,2026-03-06 03:00,48,30,30,False
TKT0241,AG046,Account Access,Phone,Medium,Closed,2026-02-22 10:00,2026-02-23 07:00,48,21,21,False
TKT0242,AG036,Billing,Chat,Critical,Closed,2026-04-13 04:00,2026-04-16 06:00,8,74,74,True
TKT0243,AG019,Product Inquiry,Phone,Low,Closed,2026-04-26 07:00,2026-04-26 14:00,72,7,7,False
TKT0244,AG021,Refund Request,Phone,Medium,Open,2026-08-24 03:00,,48,201,,True
TKT0245,AG032,Billing,Email,Low,Closed,2026-05-08 16:00,2026-05-10 08:00,72,40,40,False
TKT0246,AG004,Account Access,Chat,High,Closed,2026-03-03 06:00,2026-03-03 08:00,24,2,2,False
TKT0247,AG035,Billing,Email,Medium,Open,2026-08-29 17:00,,48,67,,True
TKT0248,AG024,Billing,Chat,Medium,Open,2026-08-29 10:00,,48,74,,True
TKT0249,AG033,Product Inquiry,Phone,Low,Closed,2026-04-03 17:00,2026-04-05 19:00,72,50,50,False
TKT0250,AG009,Billing,Chat,Low,Open,2026-08-29 04:00,,72,80,,True
TKT0251,AG049,Technical Support,Email,Medium,Open,2026-08-29 12:00,,48,72,,True
TKT0252,AG022,Product Inquiry,Phone,Medium,Closed,2026-01-11 01:00,2026-01-12 23:00,48,46,46,False
TKT0253,AG021,Technical Support,Chat,Medium,Closed,2026-05-12 04:00,2026-05-13 20:00,48,40,40,False
TKT0254,AG046,Refund Request,Chat,Critical,Closed,2026-03-18 18:00,2026-03-19 02:00,8,8,8,False
